Japan, Deaths (period 1x1), 	Last modified: 01 Apr 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1947           0             93851.04       111733.55       205584.59
  1947           1             27697.99        29649.24        57347.23
  1947           2             14684.77        14951.27        29636.04
  1947           3             11060.38        11399.93        22460.31
  1947           4              6699.28         7293.91        13993.19
  1947           5              4808.51         5212.37        10020.88
  1947           6              3449.23         3771.61         7220.84
  1947           7              2474.32         2922.57         5396.89
  1947           8              1765.66         2025.48         3791.14
  1947           9              1745.63         1960.40         3706.03
  1947          10              1586.49         1773.16         3359.65
  1947          11              1528.43         1593.95         3122.38
  1947          12              1573.48         1499.83         3073.31
  1947          13              1612.52         1566.91         3179.43
  1947          14              2041.91         1794.19         3836.10
  1947          15              2699.54         2320.84         5020.38
  1947          16              3042.86         2722.32         5765.18
  1947          17              3614.39         3435.20         7049.59
  1947          18              4226.97         4346.31         8573.28
  1947          19              4914.61         5272.44        10187.05
  1947          20              5441.10         5816.11        11257.21
  1947          21              5621.28         6074.43        11695.71
  1947          22              5385.05         5819.11        11204.16
  1947          23              5468.13         5446.66        10914.79
  1947          24              5342.01         4891.98        10233.99
  1947          25              5048.74         4554.56         9603.30
  1947          26              4764.47         4378.36         9142.83
  1947          27              4502.23         4233.17         8735.40
  1947          28              4016.77         3737.57         7754.34
  1947          29              4054.81         3886.75         7941.56
  1947          30              4022.77         3788.63         7811.40
  1947          31              3937.69         3819.66         7757.35
  1947          32              3883.65         4016.91         7900.56
  1947          33              3894.65         4046.95         7941.60
  1947          34              3730.50         3889.75         7620.25
  1947          35              3694.47         3940.82         7635.29
  1947          36              3671.45         3937.81         7609.26
  1947          37              3642.41         4091.00         7733.41
  1947          38              3507.29         4023.91         7531.20
  1947          39              3547.33         3986.88         7534.21
  1947          40              3295.09         4060.96         7356.05
  1947          41              3178.98         3837.70         7016.68
  1947          42              3336.13         3945.82         7281.95
  1947          43              3200.00         4203.13         7403.13
  1947          44              3284.08         4517.52         7801.60
  1947          45              3347.14         4623.65         7970.79
  1947          46              3389.18         4709.75         8098.93
  1947          47              3413.20         4798.87         8212.07
  1947          48              3348.14         4811.88         8160.02
  1947          49              3639.41         5150.29         8789.70
  1947          50              3684.46         4992.10         8676.56
  1947          51              3718.48         5397.59         9116.07
  1947          52              3811.58         5591.83         9403.41
  1947          53              3843.61         5770.06         9613.67
  1947          54              3883.64         5889.20         9772.84
  1947          55              3850.61         5838.13         9688.74
  1947          56              4051.80         5979.31        10031.11
  1947          57              4550.26         6992.55        11542.81
  1947          58              5066.75         7668.37        12735.12
  1947          59              4965.66         7299.92        12265.58
  1947          60              5474.14         7884.63        13358.77
  1947          61              5360.03         7470.13        12830.16
  1947          62              5960.59         8069.87        14030.46
  1947          63              6436.03         8440.32        14876.35
  1947          64              6755.34         8779.73        15535.07
  1947          65              7094.66         9292.36        16387.02
  1947          66              7438.97         9317.38        16756.35
  1947          67              7464.00         9374.45        16838.45
  1947          68              8141.64         9691.85        17833.49
  1947          69              8280.77         9437.53        17718.30
  1947          70              8923.37         9826.00        18749.37
  1947          71              9054.49         9230.28        18284.77
  1947          72              8439.92         8763.71        17203.63
  1947          73              8659.12         8416.29        17075.41
  1947          74              8203.70         7601.29        15804.99
  1947          75              7632.16         6957.50        14589.66
  1947          76              6756.34         5778.06        12534.40
  1947          77              6587.18         5353.55        11940.73
  1947          78              6934.50         5645.90        12580.40
  1947          79              6885.45         5165.31        12050.76
  1947          80              6075.70         4201.13        10276.83
  1947          81              5828.46         3997.89         9826.35
  1947          82              5499.16         3522.30         9021.46
  1947          83              4690.41         2795.42         7485.83
  1947          84              3222.02         1872.29         5094.31
  1947          85              2647.48         1533.88         4181.36
  1947          86              2328.19         1326.62         3654.81
  1947          87              2014.89         1101.34         3116.23
  1947          88              1669.57          852.04         2521.61
  1947          89              1402.31          669.82         2072.13
  1947          90              1102.04          468.57         1570.61
  1947          91               767.72          362.45         1130.17
  1947          92               591.55          239.29          830.84
  1947          93               405.38          165.20          570.58
  1947          94               255.24          117.15          372.39
  1947          95               171.16           84.10          255.26
  1947          96               104.09           43.06          147.15
  1947          97                76.08           30.03          106.11
  1947          98                59.06           29.03           88.09
  1947          99                19.02           25.03           44.05
  1947         100                10.00           14.02           24.02
  1947         101                10.01            2.00           12.01
  1947         102                 4.00            3.00            7.00
  1947         103                 4.00            2.00            6.00
  1947         104                 4.00            0.00            4.00
  1947         105                 3.00            2.00            5.00
  1947         106                 1.00            2.00            3.00
  1947         107                 0.00            1.00            1.00
  1947         108                 0.00            0.00            0.00
  1947         109                 1.00            0.00            1.00
  1947         110+                6.00            6.00           12.00
  1948           0             74677.49        90860.74       165538.23
  1948           1             20037.54        21698.52        41736.06
  1948           2              7853.31         8184.36        16037.67
  1948           3              5833.94         6249.62        12083.56
  1948           4              4741.21         5059.55         9800.76
  1948           5              3076.08         3490.14         6566.22
  1948           6              2471.68         2902.62         5374.30
  1948           7              1977.33         2390.15         4367.48
  1948           8              1536.04         1822.64         3358.68
  1948           9              1214.82         1427.28         2642.10
  1948          10              1258.85         1498.35         2757.20
  1948          11              1240.84         1277.14         2517.98
  1948          12              1297.87         1314.18         2612.05
  1948          13              1448.98         1265.14         2714.12
  1948          14              1590.07         1439.30         3029.37
  1948          15              2105.42         1778.60         3884.02
  1948          16              2520.70         2268.04         4788.74
  1948          17              3009.03         2850.56         5859.59
  1948          18              3334.25         3442.09         6776.34
  1948          19              4038.73         4250.83         8289.56
  1948          20              4593.11         4874.39         9467.50
  1948          21              5129.46         5255.72        10385.18
  1948          22              5248.55         5332.80        10581.35
  1948          23              5101.45         5256.73        10358.18
  1948          24              4955.35         4838.35         9793.70
  1948          25              4712.19         4330.89         9043.08
  1948          26              4447.00         3868.48         8315.48
  1948          27              4331.92         3906.51         8238.43
  1948          28              4059.74         3660.30         7720.04
  1948          29              3511.38         3413.07         6924.45
  1948          30              3475.35         3273.95         6749.30
  1948          31              3395.30         3372.03         6767.33
  1948          32              3449.33         3394.05         6843.38
  1948          33              3359.27         3475.12         6834.39
  1948          34              3371.28         3451.10         6822.38
  1948          35              3199.16         3326.99         6526.15
  1948          36              3422.32         3507.16         6929.48
  1948          37              3273.21         3410.07         6683.28
  1948          38              3227.18         3492.15         6719.33
  1948          39              3318.25         3527.17         6845.42
  1948          40              3293.22         3561.20         6854.42
  1948          41              3033.05         3619.26         6652.31
  1948          42              2796.89         3420.08         6216.97
  1948          43              2838.92         3558.20         6397.12
  1948          44              2973.01         3765.39         6738.40
  1948          45              3093.09         4049.64         7142.73
  1948          46              3216.17         4138.72         7354.89
  1948          47              3174.14         4170.75         7344.89
  1948          48              3214.18         4281.85         7496.03
  1948          49              3174.14         4397.96         7572.10
  1948          50              3416.31         4799.31         8215.62
  1948          51              3331.25         4569.12         7900.37
  1948          52              3690.49         4977.48         8667.97
  1948          53              3590.42         5147.63         8738.05
  1948          54              3634.46         5236.71         8871.17
  1948          55              3636.46         5388.84         9025.30
  1948          56              3851.60         5320.79         9172.39
  1948          57              3969.68         5551.00         9520.68
  1948          58              4649.14         6479.83        11128.97
  1948          59              4604.12         6832.15        11436.27
  1948          60              4732.20         6694.02        11426.22
  1948          61              4906.31         6812.13        11718.44
  1948          62              4875.29         6665.00        11540.29
  1948          63              5495.72         7094.38        12590.10
  1948          64              5944.02         7409.66        13353.68
  1948          65              6212.20         7550.79        13762.99
  1948          66              6622.48         7695.93        14318.41
  1948          67              6975.72         8049.24        15024.96
  1948          68              6844.63         7956.16        14800.79
  1948          69              7514.08         8218.39        15732.47
  1948          70              7415.02         7795.02        15210.04
  1948          71              8011.42         8001.19        16012.61
  1948          72              7867.32         7773.99        15641.31
  1948          73              7583.13         7000.30        14583.43
  1948          74              7461.04         6860.17        14321.21
  1948          75              7113.81         6020.42        13134.23
  1948          76              6448.36         5284.75        11733.11
  1948          77              5708.86         4624.16        10333.02
  1948          78              5473.70         4217.79         9691.49
  1948          79              5736.88         4111.70         9848.58
  1948          80              5520.73         3891.50         9412.23
  1948          81              4670.15         3151.84         7821.99
  1948          82              4490.04         2793.52         7283.56
  1948          83              4168.82         2516.26         6685.08
  1948          84              3443.33         1899.71         5343.04
  1948          85              2427.64         1335.20         3762.84
  1948          86              2004.36         1071.96         3076.32
  1948          87              1637.11          831.74         2468.85
  1948          88              1458.99          668.60         2127.59
  1948          89              1217.82          593.53         1811.35
  1948          90               899.61          426.38         1325.99
  1948          91               650.44          308.28          958.72
  1948          92               505.34          194.17          699.51
  1948          93               337.23          125.11          462.34
  1948          94               232.16           81.07          313.23
  1948          95               170.12           57.05          227.17
  1948          96                84.06           39.04          123.10
  1948          97                69.05           13.01           82.06
  1948          98                31.02           14.02           45.04
  1948          99                26.02           12.01           38.03
  1948         100                11.00            5.00           16.00
  1948         101                 3.00            2.00            5.00
  1948         102                 3.00            0.00            3.00
  1948         103                 3.00            1.00            4.00
  1948         104                 0.00            1.00            1.00
  1948         105                 1.00            0.00            1.00
  1948         106                 0.00            1.00            1.00
  1948         107                 1.00            1.00            2.00
  1948         108                 0.00            0.00            0.00
  1948         109                 0.00            0.00            0.00
  1948         110+                3.00            0.00            3.00
  1949           0             77059.89        91460.84       168520.73
  1949           1             22450.33        23417.95        45868.28
  1949           2             11445.21        12308.23        23753.44
  1949           3              5342.03         5870.49        11212.52
  1949           4              4105.79         4363.86         8469.65
  1949           5              3298.64         3642.55         6941.19
  1949           6              2360.46         2702.14         5062.60
  1949           7              1841.36         2161.92         4003.28
  1949           8              1506.29         1681.71         3188.00
  1949           9              1155.23         1324.56         2479.79
  1949          10              1008.20         1092.47         2100.67
  1949          11              1098.21         1124.48         2222.69
  1949          12              1136.21         1106.47         2242.68
  1949          13              1196.23         1185.50         2381.73
  1949          14              1383.27         1211.51         2594.78
  1949          15              1683.33         1435.61         3118.94
  1949          16              2197.43         1925.82         4123.25
  1949          17              2616.51         2461.04         5077.55
  1949          18              3003.58         2956.26         5959.84
  1949          19              3341.64         3519.50         6861.14
  1949          20              3739.72         4153.77         7893.49
  1949          21              4201.81         4383.86         8585.67
  1949          22              4539.88         4905.08         9444.96
  1949          23              4550.88         4867.06         9417.94
  1949          24              4430.86         4681.99         9112.85
  1949          25              4336.84         4185.78         8522.62
  1949          26              4103.79         3724.59         7828.38
  1949          27              3882.75         3403.44         7286.19
  1949          28              3915.75         3302.40         7218.15
  1949          29              3443.66         3290.40         6734.06
  1949          30              3149.61         2859.22         6008.83
  1949          31              3114.61         2931.25         6045.86
  1949          32              3151.61         2926.24         6077.85
