Republic of Korea, Deaths (period 1x1), 	Last modified: 13 Sep 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2003           0              1070.16         1444.04         2514.20
  2003           1               117.02          112.00          229.02
  2003           2                82.01          127.00          209.01
  2003           3                84.01          102.00          186.01
  2003           4                78.02          112.00          190.02
  2003           5                53.01           88.00          141.01
  2003           6                72.01           91.01          163.02
  2003           7                53.01           93.01          146.02
  2003           8                40.01           68.01          108.02
  2003           9                46.01           65.00          111.01
  2003          10                43.00           68.00          111.00
  2003          11                39.00           68.01          107.01
  2003          12                37.00           52.00           89.00
  2003          13                38.01           52.00           90.01
  2003          14                37.00           78.01          115.01
  2003          15                57.01           94.00          151.01
  2003          16                77.01          132.00          209.01
  2003          17                85.01          163.01          248.02
  2003          18                82.02          201.00          283.02
  2003          19                98.01          251.01          349.02
  2003          20               105.02          245.01          350.03
  2003          21               130.02          235.01          365.03
  2003          22               155.02          296.01          451.03
  2003          23               153.02          315.01          468.03
  2003          24               135.02          335.01          470.03
  2003          25               138.02          314.01          452.03
  2003          26               161.03          329.01          490.04
  2003          27               167.03          342.01          509.04
  2003          28               183.02          373.01          556.03
  2003          29               196.02          435.01          631.03
  2003          30               205.03          466.01          671.04
  2003          31               218.03          492.01          710.04
  2003          32               230.03          532.01          762.04
  2003          33               266.04          545.02          811.06
  2003          34               311.05          702.02         1013.07
  2003          35               293.05          620.02          913.07
  2003          36               288.05          728.02         1016.07
  2003          37               313.04          760.03         1073.07
  2003          38               317.05          948.03         1265.08
  2003          39               354.06          945.03         1299.09
  2003          40               405.05         1084.04         1489.09
  2003          41               438.06         1285.04         1723.10
  2003          42               484.07         1477.05         1961.12
  2003          43               566.08         1585.05         2151.13
  2003          44               555.08         1601.05         2156.13
  2003          45               487.07         1614.05         2101.12
  2003          46               561.08         1696.05         2257.13
  2003          47               625.09         1806.06         2431.15
  2003          48               612.09         1811.05         2423.14
  2003          49               551.08         1672.05         2223.13
  2003          50               592.09         1708.05         2300.14
  2003          51               635.09         1859.06         2494.15
  2003          52               517.08         1673.05         2190.13
  2003          53               632.09         1932.06         2564.15
  2003          54               647.10         2002.06         2649.16
  2003          55               740.11         2010.06         2750.17
  2003          56               784.12         2091.06         2875.18
  2003          57               645.09         1753.06         2398.15
  2003          58               748.11         1994.06         2742.17
  2003          59               893.13         2126.06         3019.19
  2003          60              1100.16         2844.08         3944.24
  2003          61              1234.18         3170.09         4404.27
  2003          62              1184.18         3004.09         4188.27
  2003          63              1294.19         2986.09         4280.28
  2003          64              1506.22         3208.10         4714.32
  2003          65              1521.22         3225.09         4746.31
  2003          66              1623.24         3448.10         5071.34
  2003          67              1953.28         3461.10         5414.38
  2003          68              2128.31         3635.10         5763.41
  2003          69              2133.31         3518.11         5651.42
  2003          70              2330.34         3377.10         5707.44
  2003          71              2390.35         3191.10         5581.45
  2003          72              2498.36         3091.09         5589.45
  2003          73              2862.41         3186.09         6048.50
  2003          74              3024.44         3273.10         6297.54
  2003          75              3238.47         3178.10         6416.57
  2003          76              3267.48         3052.09         6319.57
  2003          77              3401.50         2841.08         6242.58
  2003          78              3486.51         2929.08         6415.59
  2003          79              3532.52         3015.09         6547.61
  2003          80              4403.64         3229.09         7632.73
  2003          81              4086.59         2879.08         6965.67
  2003          82              3730.55         2450.07         6180.62
  2003          83              3646.54         2310.07         5956.61
  2003          84              3379.50         2022.06         5401.56
  2003          85              3428.50         1881.06         5309.56
  2003          86              3382.49         1701.06         5083.55
  2003          87              3096.46         1373.04         4469.50
  2003          88              2710.39         1086.03         3796.42
  2003          89              2399.35          928.03         3327.38
  2003          90              2349.34          793.02         3142.36
  2003          91              1974.28          643.02         2617.30
  2003          92              1572.23          489.01         2061.24
  2003          93              1219.18          419.02         1638.20
  2003          94              1016.15          316.01         1332.16
  2003          95               801.12          180.00          981.12
  2003          96               569.08          118.01          687.09
  2003          97               420.06           79.00          499.06
  2003          98               302.05           42.00          344.05
  2003          99               179.03           38.01          217.04
  2003         100               182.38           31.01          213.39
  2003         101               123.27           19.44          142.71
  2003         102                81.10           11.91           93.01
  2003         103                51.93            7.11           59.04
