measure,location,sex,age,metric,year_start,year_end,val,upper,lower
HALE (Healthy life expectancy),Serbia,Male,All Ages,Years,1990,2007,0.04815519267410035,0.05163190481493265,0.04486827687457754
HALE (Healthy life expectancy),Serbia,Female,All Ages,Years,1990,2007,0.03094031627027096,0.03462747013989563,0.02731489391595851
HALE (Healthy life expectancy),Serbia,Male,All Ages,Years,1990,2017,0.08226769764733867,0.09112962378716308,0.07348760817191753
HALE (Healthy life expectancy),Serbia,Female,All Ages,Years,1990,2017,0.045764323832167685,0.053721113870536887,0.0377264262892556
HALE (Healthy life expectancy),Serbia,Male,All Ages,Years,2007,2017,0.03254667491069573,0.04129549102387264,0.02417277235474293
HALE (Healthy life expectancy),Serbia,Female,All Ages,Years,2007,2017,0.014380490648347602,0.021927855884865125,0.0068144645327870715
HALE (Healthy life expectancy),Slovakia,Male,All Ages,Years,1990,2007,0.05600272354771918,0.059463461697016,0.052527514598402436
HALE (Healthy life expectancy),Slovakia,Female,All Ages,Years,1990,2007,0.040447536954965765,0.0443541479416796,0.03679284306806315
HALE (Healthy life expectancy),Slovakia,Male,All Ages,Years,1990,2017,0.0992422183285814,0.10944251620498376,0.08971091606770837
HALE (Healthy life expectancy),Slovakia,Female,All Ages,Years,1990,2017,0.06154810515773355,0.06961468311097613,0.052813399115875716
HALE (Healthy life expectancy),Slovakia,Male,All Ages,Years,2007,2017,0.04094677836986614,0.05000663957008681,0.03215244278026403
HALE (Healthy life expectancy),Slovakia,Female,All Ages,Years,2007,2017,0.02028204321955433,0.028315104759530627,0.011814723060166713
HALE (Healthy life expectancy),Slovenia,Male,All Ages,Years,1990,2007,0.05835926863158659,0.06349111117202268,0.052712378201993225
HALE (Healthy life expectancy),Slovenia,Female,All Ages,Years,1990,2007,0.044763939240152255,0.049777345389653435,0.03956336036236173
HALE (Healthy life expectancy),Slovenia,Male,All Ages,Years,1990,2017,0.10211618045629957,0.1137712155308572,0.091179367666521
HALE (Healthy life expectancy),Slovenia,Female,All Ages,Years,1990,2017,0.0720808823338246,0.08127975139775491,0.062218463738790676
HALE (Healthy life expectancy),Slovenia,Male,All Ages,Years,2007,2017,0.041344690816057315,0.050730802038865035,0.03209766999141557
HALE (Healthy life expectancy),Slovenia,Female,All Ages,Years,2007,2017,0.02614782306041049,0.03465270240512354,0.017467991408024852
HALE (Healthy life expectancy),Belarus,Male,All Ages,Years,1990,2007,-0.01988709753018166,-0.015333364796143063,-0.02421231545773471
HALE (Healthy life expectancy),Belarus,Female,All Ages,Years,1990,2007,0.007564651175031442,0.011845419720596691,0.0036425270143344303
HALE (Healthy life expectancy),Belarus,Male,All Ages,Years,1990,2017,0.04451573950510772,0.05528671686706961,0.03318859505002302
HALE (Healthy life expectancy),Belarus,Female,All Ages,Years,1990,2017,0.04043193157641268,0.0489573138234105,0.032010694802906116
HALE (Healthy life expectancy),Belarus,Male,All Ages,Years,2007,2017,0.06571104874803499,0.07579654127106003,0.05489918099411742
HALE (Healthy life expectancy),Belarus,Female,All Ages,Years,2007,2017,0.032621672070632365,0.04071452119128089,0.024820799485188817
HALE (Healthy life expectancy),Estonia,Male,All Ages,Years,1990,2007,0.04480761759657565,0.04994782654449418,0.03979873584547978
HALE (Healthy life expectancy),Estonia,Female,All Ages,Years,1990,2007,0.050647571627730745,0.055655739107434994,0.04609112671531642
HALE (Healthy life expectancy),Estonia,Male,All Ages,Years,1990,2017,0.12818016452840353,0.1509371089170985,0.10500792547715944
HALE (Healthy life expectancy),Estonia,Female,All Ages,Years,1990,2017,0.08836646131000532,0.1057406635170981,0.07200866885305915
HALE (Healthy life expectancy),Estonia,Male,All Ages,Years,2007,2017,0.07980185963813154,0.10066632404245834,0.056789395814746124
HALE (Healthy life expectancy),Estonia,Female,All Ages,Years,2007,2017,0.03590262109323982,0.05196018228450744,0.02022119551855633
HALE (Healthy life expectancy),Latvia,Male,All Ages,Years,1990,2007,0.012122059862440306,0.01661477031223406,0.007706481160073256
HALE (Healthy life expectancy),Latvia,Female,All Ages,Years,1990,2007,0.02706412908109069,0.031029907755348324,0.023048401678183984
HALE (Healthy life expectancy),Latvia,Male,All Ages,Years,1990,2017,0.08187535919531325,0.1029931711409125,0.06004629891430228
HALE (Healthy life expectancy),Latvia,Female,All Ages,Years,1990,2017,0.06316106859880821,0.08029672686558817,0.0466492580098115
