measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1990,55.600901026256075,57.49661111817145,53.52209526788891
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1990,58.373603413466384,60.76262251830639,55.66435352082458
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2007,59.26039262156744,61.24006686875683,57.0342984968472
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2007,62.2834937677159,64.76235596061031,59.43395272899415
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2014,61.110245567137774,63.239261635621354,58.719916858472395
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2014,64.05884234980492,66.67192388243123,61.06533163673258
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2006,58.9532923643735,60.91292030355225,56.718992731622144
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2006,61.944211196239,64.38668061538947,59.10944877610348
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1999,56.93164129246501,58.875851164855746,54.785108947747354
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1999,59.913353495023095,62.32802068840592,57.17341597673578
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1998,56.77139989469054,58.71525671188486,54.613064355753146
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1998,59.74894811417689,62.1361715034928,56.97344461537711
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1991,55.683749030813004,57.57602597976986,53.583280086555156
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1991,58.51367640624857,60.92230049364903,55.80947629975535
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2015,61.307062822443754,63.45351254849897,58.912445744748155
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2015,64.22715579053815,66.85357721235977,61.22013916505922
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1992,55.851903710418796,57.75651040839655,53.730910932147296
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1992,58.68399332838003,61.08535713989438,55.95542240169472
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2017,61.817760639486075,63.984487917773,59.371398469551366
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2017,64.75939064471346,67.43492602120742,61.69879251102797
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2016,61.53112417837142,63.70783691658269,59.10533259123975
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2016,64.46262153848039,67.10886539209243,61.42110892403254
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2008,59.39987457891697,61.40743288324854,57.13645696225159
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2008,62.49752433677507,65.00164628086232,59.615277725045004
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2000,57.15462072707121,59.11278182874052,54.99651107378242
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2000,60.16239570235845,62.57847771462178,57.42013010777346
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1993,55.88543486854,57.772979875456066,53.762619282440966
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1993,58.81424014060438,61.18795934365622,56.06840405362031
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2009,59.74265943395874,61.772784196098826,57.393211098265546
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2009,62.825223712175905,65.34926954837759,59.89070230880185
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1994,55.76480255549141,57.66326666002839,53.63735165885164
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1994,58.845175569878684,61.20910678167504,56.096907906727935
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2010,59.891924047611816,61.915912263598145,57.56541252994318
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2010,62.99596713542528,65.51869624797554,60.067717061609315
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1995,56.12690785690197,58.03588356044032,54.00164245391417
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1995,59.14232976538126,61.48265963305212,56.38037737885132
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2001,57.45875847209596,59.415077143563536,55.286142901493065
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2001,60.442249762263536,62.85546865329543,57.68718197667897
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1996,56.373886031907155,58.28238195812615,54.22855258904417
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1996,59.361577354174976,61.738955485069724,56.57655750035842
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2002,57.710789827273906,59.65631107354444,55.50090995522591
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2002,60.67830535042022,63.072365752276795,57.93444010918218
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2012,60.53564334214678,62.611533410156106,58.13958962488815
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2012,63.62761135726935,66.17123390441287,60.65496874968749
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2004,58.23532026568118,60.16124850837223,56.01699200036133
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2004,61.23934526912332,63.656541313181236,58.45704575781827
HALE (Healthy life expectancy),Global,Male,All Ages,Years,1997,56.57402991238944,58.500974638556,54.40622358327756
HALE (Healthy life expectancy),Global,Female,All Ages,Years,1997,59.54118234028597,61.93679281532052,56.780873925948256
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2005,58.54598066021413,60.490156518174715,56.32923644164633
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2005,61.54858522654392,63.978333861209705,58.74698196649045
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2013,60.86512568104599,62.971437040420675,58.45765326406322
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2013,63.886154383788394,66.46902964794613,60.87287302689472
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2011,60.25425511223948,62.30274871979687,57.865575048868806
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2011,63.32379968757481,65.85958372595883,60.38086304182462
HALE (Healthy life expectancy),Global,Male,All Ages,Years,2003,57.98822663968602,59.92123922114486,55.76939459871495
HALE (Healthy life expectancy),Global,Female,All Ages,Years,2003,60.95940906907104,63.357796846853994,58.175049510304916
