measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,1994,631632.143604355,757166.1861073668,510998.4268661961
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,1994,59272.59383217842,92228.90169695893,32316.160412126323
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,1994,23390.534333184267,37268.99893892183,13865.813466948955
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,1994,22489.02866050342,36793.02335088043,13023.7159228856
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,1994,22699.000534080897,37247.15725187743,12929.985501629
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,1994,20577.556782785963,33562.62713004788,11896.309720104111
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,1994,20734.212260869128,33447.601094368525,11776.859930359296
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,1994,21723.048002853415,35194.26575710826,12952.130086623787
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,1994,23192.38397904618,38647.79404884746,13520.557379399219
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,1994,27446.8390319448,45682.14580790711,16311.94840050195
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,1994,33810.063524272846,56522.28890967826,20115.999500756243
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,1994,46474.654481667974,76543.3168562571,28517.41270914413
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,1994,72168.85072879534,118631.48392653305,43208.13090328779
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,1994,92289.21563944024,151640.05588207857,57718.58691010339
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,1994,112019.10004952825,176883.96195424988,70662.0788716219
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,1994,111122.93325252451,175535.97461826802,71388.16920675302
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2002,464116.76735226926,544365.3591028659,377701.09834742337
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,2002,45566.113786545226,72404.455592152,27235.31456916871
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,2002,21774.468051359272,35568.46128171654,13779.912541187257
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,2002,22453.16069166805,37207.326107716995,13809.85436582988
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,2002,22251.6311667377,36459.0416572914,13161.911171179549
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,2002,20907.3693919246,34269.048122344975,12300.221303529584
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2002,20979.832329153905,34022.09020189319,12296.003339622916
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,2002,22180.275622883153,37083.0146004799,13316.149954716466
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,2002,22533.985398340013,38946.34068685381,13412.679360617343
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,2002,26985.334499526296,46190.56198180424,16431.146602253328
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,2002,32732.519285465627,54739.11719358477,20404.188262954438
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,2002,42429.59808315842,70686.87360447498,26538.22964644703
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,2002,67007.2842678133,112656.34625917014,41872.89052700422
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,2002,96029.74998209975,160227.69877674547,60814.43717889549
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,2002,126000.03719166663,201324.2905842049,80578.97525152091
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,2002,123670.55399500077,200514.41275656415,79148.52706173317
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,1998,551184.6931252044,654343.4405785879,441704.8398727761
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,1998,52763.21749926103,82761.94093230511,29233.337142194072
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,1998,22959.403226423397,36945.05671593983,14220.363683336509
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,1998,22550.87084638502,36894.57850016994,13439.718407351842
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,1998,23249.322141790406,38083.80945396426,13221.297695483867
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,1998,21262.233522475493,34692.3509932282,12362.783832602207
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,1998,21486.782737514088,34696.65044692059,12297.249863422054
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,1998,22527.534035257326,37157.83433158956,13339.284772985558
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,1998,23522.341645851473,40186.79130600257,13773.028655865282
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,1998,28122.88564750682,47207.494393294386,16732.548688844254
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,1998,33340.54863442194,55579.42153299478,20036.201097951718
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,1998,44627.36794020776,73966.72097465012,27852.17734176615
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,1998,71558.58570417673,118409.70929766292,42900.04088743477
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,1998,96357.81672134383,158034.3274235363,60014.92184721178
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,1998,118368.63096525657,189099.72987549184,75041.07073661074
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,1998,116324.2799051494,186652.33908996586,74194.69037810026
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2006,402327.6114414158,471704.7128357152,335101.07875408436
