measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Ukraine,Both,1 to 4,All causes,Rate,2017,46.60506791624218,58.379317713062406,36.586757681968066
Deaths,Grenada,Both,1 to 4,All causes,Rate,2017,44.11938708042043,78.21340324342806,22.778881471188825
Deaths,Mali,Both,1 to 4,All causes,Rate,2017,1464.2536877927346,1799.1500155665954,1197.5785153403667
Deaths,Maldives,Both,1 to 4,All causes,Rate,2017,39.498882099621774,48.491238456272,32.16220708995033
Deaths,Seychelles,Both,1 to 4,All causes,Rate,2017,44.70055216556525,53.671745828043065,36.965015710791825
Deaths,Malta,Both,1 to 4,All causes,Rate,2017,15.777132545637802,18.879005936956975,13.208737872562285
Deaths,South Sudan,Both,1 to 4,All causes,Rate,2017,1093.2846848552465,1317.0740546321292,895.4104381549008
Deaths,Guyana,Both,1 to 4,All causes,Rate,2017,73.97469086784535,98.3332807856419,55.11944601278259
Deaths,Bangladesh,Both,1 to 4,All causes,Rate,2017,150.98115158671663,180.20800444701837,124.8717059435232
Deaths,Bhutan,Both,1 to 4,All causes,Rate,2017,86.57593998226733,118.02617432242802,63.60954602223785
Deaths,Myanmar,Both,1 to 4,All causes,Rate,2017,181.54906729772583,229.59947550583223,141.70171531777206
Deaths,Somalia,Both,1 to 4,All causes,Rate,2017,843.6467256531777,1090.692617590942,656.1582143486596
Deaths,Brunei,Both,1 to 4,All causes,Rate,2017,32.63859442740277,38.98287932137909,27.073377605650432
Deaths,Uzbekistan,Both,1 to 4,All causes,Rate,2017,94.96498577161789,117.64730225959637,78.07567833647357
Deaths,Mauritania,Both,1 to 4,All causes,Rate,2017,221.5156680872502,318.61179920246093,156.7180040307036
Deaths,Tajikistan,Both,1 to 4,All causes,Rate,2017,212.06989464646972,260.746779692991,172.80739420376995
Deaths,Algeria,Both,1 to 4,All causes,Rate,2017,57.247505121527986,84.83011076160588,38.264351621090256
Deaths,India,Both,1 to 4,All causes,Rate,2017,151.97443118375364,171.35975563884384,135.265626839802
Deaths,Philippines,Both,1 to 4,All causes,Rate,2017,175.02994093313663,211.96565531263195,143.4653883545392
Deaths,Netherlands,Both,1 to 4,All causes,Rate,2017,13.970561744213272,16.30915169075402,11.893045258775238
Deaths,Turkmenistan,Both,1 to 4,All causes,Rate,2017,118.39694043359441,155.06653740145163,88.58612513933082
Deaths,Haiti,Both,1 to 4,All causes,Rate,2017,351.95528334093194,432.91390236142263,279.9713008741848
Deaths,Niger,Both,1 to 4,All causes,Rate,2017,1473.3871658082087,1819.7812494287577,1206.7482961504973
Deaths,Bahrain,Both,1 to 4,All causes,Rate,2017,33.461936986261065,39.48954327451314,28.16216632003058
Deaths,Sao Tome and Principe,Both,1 to 4,All causes,Rate,2017,155.04898020604452,189.97341249799246,125.9828299411415
Deaths,Japan,Both,1 to 4,All causes,Rate,2017,16.97856298882497,17.905296444689604,16.154880031405682
Deaths,Saint Lucia,Both,1 to 4,All causes,Rate,2017,33.43745627461466,48.525490851448666,22.455385429576083
Deaths,Jamaica,Both,1 to 4,All causes,Rate,2017,51.3825189576499,71.98951621934614,36.11242259768868
Deaths,Norway,Both,1 to 4,All causes,Rate,2017,10.60103226605872,11.393007295479384,9.836998940372032
Deaths,Tanzania,Both,1 to 4,All causes,Rate,2017,477.009323467361,607.2689031502499,380.05338604246714
Deaths,Spain,Both,1 to 4,All causes,Rate,2017,13.705587209414155,15.629713925900985,12.009404609259636
Deaths,Saint Vincent and the Grenadines,Both,1 to 4,All causes,Rate,2017,46.90131611310217,65.85492030050287,32.95814285857426
Deaths,Iran,Both,1 to 4,All causes,Rate,2017,57.462596365125954,60.073967451235674,54.87777541116495
Deaths,Senegal,Both,1 to 4,All causes,Rate,2017,358.20031957812387,461.05164115910515,279.07531333688854
Deaths,Thailand,Both,1 to 4,All causes,Rate,2017,56.66515481533407,66.98181865608557,48.110027187333486
Deaths,Lesotho,Both,1 to 4,All causes,Rate,2017,323.0455918194518,398.64679883106265,258.3019927741507
