"id","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AFG",41.9863,41.6304,40.9276,40.2432,39.5771,38.9293,38.2998,37.6884,37.0948,36.5185,35.9588,35.4146,34.8844,34.3658,33.8565,33.3545,32.8589,32.3681,31.88,31.3916,30.9008,30.4066,29.9077,29.4019,28.8862,28.3585,27.818,27.2632,26.6918,26.1004,25.4824,24.8311,24.145,23.4263,22.6791,21.9057,21.1089,20.299,19.4903,18.6975,17.9416,17.2428,16.6091,16.0426,15.5413,15.0963,14.6929,14.3095,13.927,13.5341,13.1208,12.6819,12.2242,11.7565,11.2841,10.8162,10.3635,9.9348,9.5362,9.1702,8.836,8.529,8.2406,7.9633,7.6942,7.4315
"AGO",36.92,36.8152,36.5979,36.3648,36.1161,35.8515,35.5709,35.274,34.9605,34.6295,34.2804,33.9128,33.5271,33.1247,32.7085,32.2816,31.8474,31.4095,30.9716,30.5369,30.1046,29.6718,29.2377,28.8056,28.3822,27.9784,27.6064,27.2744,26.9869,26.7448,26.5464,26.3863,26.253,26.135,26.0246,25.9203,25.8244,25.7362,25.6495,25.5523,25.4332,25.282,25.0868,24.8337,24.5085,24.0908,23.5623,22.9231,22.1811,21.3478,20.438,19.4704,18.4716,17.4696,16.4871,15.5394,14.6327,13.7659,12.9428,12.1759,11.484,10.8845,10.381,9.9702,9.6449,9.3915
"ALB",20.2755,20.0792,19.6634,19.2015,18.6935,18.1398,17.5418,16.9025,16.227,15.5238,14.8034,14.0777,13.36,12.6617,11.9911,11.3502,10.7355,10.14,9.5605,9.0002,8.4646,7.9598,7.4924,7.0678,6.6893,6.3623,6.091,5.8712,5.6957,5.5563,5.4432,5.3457,5.2541,5.1589,5.0528,4.9303,4.7893,4.6348,4.4721,4.3036,4.1331,3.9648,3.8022,3.6481,3.5044,3.3722,3.2519,3.1405,3.0346,2.9317,2.8269,2.715,2.5941,2.4647,2.3292,2.1931,2.0641,1.9491,1.8525,1.7755,1.717,1.6732,1.6372,1.6035,1.569,1.5323
"ARE",29.3418,28.7126,27.4704,26.2605,25.0829,23.9371,22.8215,21.7342,20.6716,19.6268,18.5926,17.5626,16.5317,15.5,14.4736,13.4646,12.4888,11.5617,10.6955,9.8959,9.1651,8.4995,7.8878,7.3197,6.7903,6.296,5.8353,5.4082,5.0137,4.649,4.3123,4.0027,3.7193,3.4608,3.2246,3.0094,2.8142,2.6381,2.4792,2.3349,2.2024,2.0798,1.9656,1.8585,1.7567,1.6591,1.5653,1.4762,1.3921,1.3127,1.2373,1.1655,1.0971,1.0324,0.9718,0.9166,0.8684,0.828,0.7955,0.7702,0.7504,0.7341,0.7192,0.7039,0.6872,0.6687
"ARG",8.8176,8.6913,8.4511,8.2356,8.0448,7.8787,7.7372,7.6195,7.524,7.4491,7.3917,7.3477,7.3113,7.2751,7.2309,7.1679,7.0765,6.9532,6.7974,6.6099,6.3941,6.1561,5.9063,5.6544,5.407,5.1688,4.9417,4.7244,4.5164,4.3196,4.1361,3.9672,3.8126,3.6716,3.5437,3.4284,3.3249,3.2313,3.1457,3.0659,2.9911,2.9214,2.8558,2.7923,2.7277,2.6555,2.5683,2.464,2.344,2.2123,2.0779,1.9527,1.8467,1.7664,1.7136,1.6862,1.6782,1.6791,1.6796,1.6752,1.6623,1.6399,1.6107,1.5772,1.5398,1.4995
"ARM",9.9708,9.8888,9.7256,9.5641,9.4044,9.2464,9.0901,8.9354,8.7823,8.6305,8.4798,8.3302,8.1814,8.0337,7.8873,7.7424,7.5991,7.4581,7.3201,7.1861,7.0576,6.9363,6.8228,6.7165,6.6167,6.5204,6.4238,6.3247,6.2225,6.1184,6.0169,5.9241,5.8447,5.7806,5.7311,5.695,5.6704,5.6501,5.6255,5.5888,5.5286,5.4338,5.3011,5.1309,4.9261,4.6931,4.4415,4.1843,3.9336,3.6969,3.4809,3.2885,3.1159,2.9584,2.8139,2.677,2.541,2.4017,2.2573,2.1089,1.9614,1.8225,1.6994,1.5971,1.5164,1.4557
"AUS",3.1482,3.1072,3.0266,2.9482,2.8723,2.7987,2.7278,2.6595,2.5944,2.5329,2.4757,2.4234,2.3762,2.3342,2.2965,2.2626,2.2323,2.2038,2.1747,2.1427,2.1034,2.0526,1.9888,1.9125,1.8254,1.7311,1.6347,1.5418,1.4568,1.3822,1.3195,1.2685,1.226,1.1885,1.1543,1.1207,1.0853,1.047,1.0055,0.9609,0.9144,0.8682,0.8248,0.7861,0.7528,0.7252,0.7025,0.6832,0.6657,0.6495,0.6337,0.6183,0.6031,0.5883,0.5736,0.5591,0.5449,0.5311,0.5177,0.5047,0.4916,0.4779,0.4634,0.448,0.432,0.4158
"AUT",6.6337,6.5078,6.2551,6.001,5.7454,5.4884,5.2308,4.9734,4.7181,4.468,4.2267,3.9983,3.787,3.5963,3.4279,3.285,3.17,3.0792,3.0064,2.9449,2.8841,2.8122,2.7223,2.6107,2.4776,2.3275,2.1692,2.0143,1.8718,1.7458,1.6377,1.5455,1.4634,1.3866,1.3133,1.2431,1.1761,1.1133,1.0549,1.0004,0.9483,0.8969,0.8455,0.7939,0.7427,0.6939,0.6499,0.6128,0.5836,0.5622,0.5473,0.5368,0.5279,0.5185,0.5075,0.4947,0.4808,0.4672,0.4545,0.4425,0.4301,0.4157,0.3984,0.3779,0.3546,0.3299
"AZE",17.9842,17.8399,17.5533,17.2705,16.9915,16.7162,16.4445,16.1762,15.9109,15.6479,15.3866,15.1263,14.8669,14.6088,14.3533,14.1008,13.8513,13.6072,13.372,13.15,12.9484,12.775,12.6325,12.5209,12.4375,12.3784,12.3376,12.3057,12.2727,12.2311,12.174,12.0966,11.9995,11.8829,11.7459,11.5911,11.4231,11.2453,11.0584,10.8595,10.639,10.3841,10.0885,9.7521,9.3805,8.9878,8.5924,8.2113,7.8557,7.5292,7.2263,6.9342,6.6371,6.325,5.997,5.6559,5.3082,4.9667,4.6435,4.3461,4.0835,3.8625,3.6816,3.5374,3.4264,3.3424
"BDI",28.678,28.5241,28.2178,27.9142,27.6133,27.315,27.0187,26.7243,26.4308,26.1367,25.8406,25.5417,25.2402,24.9385,24.641,24.3604,24.1118,23.9011,23.7259,23.5776,23.4358,23.2739,23.0707,22.8137,22.5013,22.141,21.7491,21.3508,20.9682,20.6125,20.2837,19.9731,19.6731,19.3854,19.1229,18.9277,18.8515,18.9112,19.0953,19.3686,19.652,19.8465,19.8755,19.6952,19.302,18.7318,18.0549,17.3676,16.7468,16.2254,15.815,15.5011,15.2366,14.9822,14.7256,14.4583,14.1783,13.8926,13.6063,13.319,13.0305,12.741,12.4516,12.1636,11.8779,11.5956
