measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,1994,566211.0247730376,641198.277622926,476055.6876548684
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,1994,66409.80902082764,75163.86479549906,53754.16274493963
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,1994,23276.310289761692,25557.421698161324,19681.701799211976
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,1994,17741.457782826295,19063.246988718485,15618.443520396497
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,1994,19312.940370559332,20586.22208744324,17349.39354708876
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,1994,21600.296062247682,22817.22687079679,19107.78086307306
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,1994,22385.2432630955,23602.283564376055,20398.335339908084
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,1994,25240.088958358596,27045.960662594734,23307.06642970079
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,1994,29757.10753581285,31464.338655492113,27505.373355942444
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,1994,32351.542907767955,34297.954466658695,29823.767893637305
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,1994,41244.1076828063,44229.80959482678,37463.2118346908
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,1994,53732.45667347341,56827.494742549374,49285.28823884896
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,1994,81373.7920638876,86049.3026900562,73524.51481025098
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,1994,100813.62332719206,106711.94913131169,91711.5731905638
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,1994,128133.67600078581,135372.68224209882,118329.35084649979
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,1994,138606.78585459606,147328.4985422742,129661.2947451924
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,1998,487664.58229343884,554456.8548801758,409782.56592381274
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,1998,57596.30015873906,64796.92738385096,47829.72081112904
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,1998,22819.49623347243,24927.989776191203,19270.935538789956
